date,time_kst,분류,항목,금일(원/kg),전일(원/kg)
2025-10-05,11:45,생계,대,1890,1890
2025-10-05,11:45,생계,중,1990,1990
2025-10-05,11:45,생계,소,2090,2090
2025-10-05,14:26,육계(공장도가),9~10호,3462,3462
2025-10-05,14:26,육계(공장도가),11호,3326,3326
2025-10-05,14:26,육계(공장도가),12호,3089,3089
2025-10-05,14:26,생계,대,1890,1890
2025-10-05,14:26,생계,중,1990,1990
2025-10-05,14:26,생계,소,2090,2090
2025-10-06,11:39,육계(공장도가),9~10호,3462,3462
2025-10-06,11:39,육계(공장도가),11호,3326,3326
2025-10-06,11:39,육계(공장도가),12호,3089,3089
2025-10-06,11:39,생계,대,1890,1890
2025-10-06,11:39,생계,중,1990,1990
2025-10-06,11:39,생계,소,2090,2090
2025-10-06,14:27,육계(공장도가),9~10호,3462,3462
2025-10-06,14:27,육계(공장도가),11호,3326,3326
2025-10-06,14:27,육계(공장도가),12호,3089,3089
2025-10-06,14:27,생계,대,1890,1890
2025-10-06,14:27,생계,중,1990,1990
2025-10-06,14:27,생계,소,2090,2090
2025-10-07,11:26,육계(공장도가),9~10호,3462,3462
2025-10-07,11:26,육계(공장도가),11호,3326,3326
2025-10-07,11:26,육계(공장도가),12호,3089,3089
2025-10-07,11:26,생계,대,1890,1890
2025-10-07,11:26,생계,중,1990,1990
2025-10-07,11:26,생계,소,2090,2090
2025-10-07,14:28,육계(공장도가),9~10호,3462,3462
2025-10-07,14:28,육계(공장도가),11호,3326,3326
2025-10-07,14:28,육계(공장도가),12호,3089,3089
2025-10-07,14:28,생계,대,1890,1890
2025-10-07,14:28,생계,중,1990,1990
2025-10-07,14:28,생계,소,2090,2090
2025-10-08,11:24,육계(공장도가),9~10호,3462,3462
2025-10-08,11:24,육계(공장도가),11호,3326,3326
2025-10-08,11:24,육계(공장도가),12호,3089,3089
2025-10-08,11:24,생계,대,1890,1890
2025-10-08,11:24,생계,중,1990,1990
2025-10-08,11:24,생계,소,2090,2090
2025-10-08,14:29,육계(공장도가),9~10호,3462,3462
2025-10-08,14:29,육계(공장도가),11호,3326,3326
2025-10-08,14:29,육계(공장도가),12호,3089,3089
2025-10-08,14:29,생계,대,1890,1890
2025-10-08,14:29,생계,중,1990,1990
2025-10-08,14:29,생계,소,2090,2090
2025-10-09,11:27,육계(공장도가),9~10호,3462,3462
2025-10-09,11:27,육계(공장도가),11호,3326,3326
2025-10-09,11:27,육계(공장도가),12호,3089,3089
2025-10-09,11:27,생계,대,1890,1890
2025-10-09,11:27,생계,중,1990,1990
2025-10-09,11:27,생계,소,2090,2090
2025-10-09,14:28,육계(공장도가),9~10호,3462,3462
2025-10-09,14:28,육계(공장도가),11호,3326,3326
2025-10-09,14:28,육계(공장도가),12호,3089,3089
2025-10-09,14:28,생계,대,1890,1890
2025-10-09,14:28,생계,중,1990,1990
2025-10-09,14:28,생계,소,2090,2090
2025-10-10,11:28,육계(공장도가),9~10호,3462,3462
2025-10-10,11:28,육계(공장도가),11호,3326,3326
2025-10-10,11:28,육계(공장도가),12호,3089,3089
2025-10-10,11:28,생계,대,1890,1890
2025-10-10,11:28,생계,중,1990,1990
2025-10-10,11:28,생계,소,2090,2090
2025-10-10,14:29,육계(공장도가),9~10호,3462,3462
2025-10-10,14:29,육계(공장도가),11호,3326,3326
2025-10-10,14:29,육계(공장도가),12호,3089,3089
2025-10-10,14:29,생계,대,1890,1890
2025-10-10,14:29,생계,중,1990,1990
2025-10-10,14:29,생계,소,2090,2090
2025-10-11,11:22,육계(공장도가),9~10호,3462,3462
2025-10-11,11:22,육계(공장도가),11호,3326,3326
2025-10-11,11:22,육계(공장도가),12호,3089,3089
2025-10-11,11:22,생계,대,1890,1890
2025-10-11,11:22,생계,중,1990,1990
2025-10-11,11:22,생계,소,2090,2090
2025-10-11,14:27,육계(공장도가),9~10호,3462,3462
2025-10-11,14:27,육계(공장도가),11호,3326,3326
2025-10-11,14:27,육계(공장도가),12호,3089,3089
2025-10-11,14:27,생계,대,1890,1890
2025-10-11,14:27,생계,중,1990,1990
2025-10-11,14:27,생계,소,2090,2090
2025-10-12,11:39,육계(공장도가),9~10호,3462,3462
2025-10-12,11:39,육계(공장도가),11호,3326,3326
2025-10-12,11:39,육계(공장도가),12호,3089,3089
2025-10-12,11:39,생계,대,1890,1890
2025-10-12,11:39,생계,중,1990,1990
2025-10-12,11:39,생계,소,2090,2090
2025-10-12,14:25,육계(공장도가),9~10호,3462,3462
2025-10-12,14:25,육계(공장도가),11호,3326,3326
2025-10-12,14:25,육계(공장도가),12호,3089,3089
2025-10-12,14:25,생계,대,1890,1890
2025-10-12,14:25,생계,중,1990,1990
2025-10-12,14:25,생계,소,2090,2090
2025-10-13,11:45,육계(공장도가),9~10호,3462,3462
2025-10-13,11:45,육계(공장도가),11호,3326,3326
2025-10-13,11:45,육계(공장도가),12호,3089,3089
2025-10-13,11:45,생계,대,1890,1890
2025-10-13,11:45,생계,중,1990,1990
2025-10-13,11:45,생계,소,2090,2090
2025-10-13,14:30,육계(공장도가),9~10호,3462,3462
2025-10-13,14:30,육계(공장도가),11호,3326,3326
2025-10-13,14:30,육계(공장도가),12호,3089,3089
2025-10-13,14:30,생계,대,1890,1890
2025-10-13,14:30,생계,중,1990,1990
2025-10-13,14:30,생계,소,2090,2090
2025-10-14,11:28,육계(공장도가),9~10호,3462,3462
2025-10-14,11:28,육계(공장도가),11호,3326,3326
2025-10-14,11:28,육계(공장도가),12호,3089,3089
2025-10-14,11:28,생계,대,1890,1890
2025-10-14,11:28,생계,중,1990,1990
2025-10-14,11:28,생계,소,2090,2090
2025-10-14,14:27,육계(공장도가),9~10호,3462,3462
2025-10-14,14:27,육계(공장도가),11호,3326,3326
2025-10-14,14:27,육계(공장도가),12호,3089,3089
2025-10-14,14:27,생계,대,1890,1890
2025-10-14,14:27,생계,중,1990,1990
2025-10-14,14:27,생계,소,2090,2090
2025-10-15,11:41,육계(공장도가),9~10호,3462,3462
2025-10-15,11:41,육계(공장도가),11호,3326,3326
2025-10-15,11:41,육계(공장도가),12호,3089,3089
2025-10-15,11:41,생계,대,1890,1890
2025-10-15,11:41,생계,중,1990,1990
2025-10-15,11:41,생계,소,2090,2090
2025-10-15,14:27,육계(공장도가),9~10호,3462,3462
2025-10-15,14:27,육계(공장도가),11호,3326,3326
2025-10-15,14:27,육계(공장도가),12호,3089,3089
2025-10-15,14:27,생계,대,1890,1890
2025-10-15,14:27,생계,중,1990,1990
2025-10-15,14:27,생계,소,2090,2090
2025-10-16,11:39,육계(공장도가),9~10호,3462,3462
2025-10-16,11:39,육계(공장도가),11호,3326,3326
2025-10-16,11:39,육계(공장도가),12호,3089,3089
2025-10-16,11:39,생계,대,1890,1890
2025-10-16,11:39,생계,중,1990,1990
2025-10-16,11:39,생계,소,2090,2090
2025-10-16,14:27,육계(공장도가),9~10호,3462,3462
2025-10-16,14:27,육계(공장도가),11호,3326,3326
2025-10-16,14:27,육계(공장도가),12호,3089,3089
2025-10-16,14:27,생계,대,1890,1890
2025-10-16,14:27,생계,중,1990,1990
2025-10-16,14:27,생계,소,2090,2090
2025-10-17,11:38,육계(공장도가),9~10호,3462,3462
2025-10-17,11:38,육계(공장도가),11호,3326,3326
2025-10-17,11:38,육계(공장도가),12호,3089,3089
2025-10-17,11:38,생계,대,1890,1890
2025-10-17,11:38,생계,중,1990,1990
2025-10-17,11:38,생계,소,2090,2090
2025-10-17,14:27,육계(공장도가),9~10호,3462,3462
2025-10-17,14:27,육계(공장도가),11호,3326,3326
2025-10-17,14:27,육계(공장도가),12호,3089,3089
